video_id,duration,commentCount,dislikeCount,favoriteCount,likeCount,viewCount,timestamp
dW4wpGg64pE,337,3254,1810,0,63417,3734536,2019-04-06 11:54:20.795239
2VP846QcA_4,962,802,445,0,11496,437541,2019-04-06 11:54:21.967840
_dhneCO4YEE,346,1181,2662,0,6555,524877,2019-04-06 11:54:23.087255
EYkEshCOhEU,825,1015,448,0,17764,384695,2019-04-06 11:54:24.527465
Rq9-mW6HgQE,433,2407,510,0,22420,1731379,2019-04-06 11:54:25.796163
k29YnfttqEU,155,1107,820,0,18976,3389652,2019-04-06 11:54:27.274735
Eg_kW5fw6qU,512,4066,191,0,13619,414094,2019-04-06 11:54:28.751577
J_QGZspO4gg,169,9891,5212,0,248003,25157360,2019-04-06 11:54:30.183727
PkRBTF6nt4E,92,365,850,0,1252,209003,2019-04-06 11:54:31.346737
ozkqm2ifMw8,251,703,290,0,21955,1316192,2019-04-06 11:54:32.642619
htvR_dBs3eg,382,846,204,0,4121,180504,2019-04-06 11:54:33.831251
qEEtzzi1EII,109,1123,582,0,30313,1556653,2019-04-06 11:54:35.445341
1Wk8ZRgXQnY,221,368,340,0,31730,1897575,2019-04-06 11:54:37.048998
8l_e6bx8UG8,230,9858,7535,0,45528,2399748,2019-04-06 11:54:38.579042
lsfzA7sWlOM,58,1511,183,0,8421,215543,2019-04-06 11:54:39.986467
RQDphL2MVlM,515,263,145,0,4416,108121,2019-04-06 11:54:41.411191
X7flefV8tec,402,2470,5680,0,6640,658350,2019-04-06 11:54:42.758683
cYw-oyJ7AEY,212,893,949,0,18164,985574,2019-04-06 11:54:44.137786
6nJw-jPQYVI,384,157,35,0,1589,230940,2019-04-06 11:54:45.644145
5x1FAiIq_pQ,306,195,594,0,3838,316987,2019-04-06 11:54:47.022116
LMCuKltaY3M,146,487,387,0,5815,895367,2019-04-06 11:54:48.678067
6Detw08jRhs,61,116,144,0,868,83245,2019-04-06 11:54:49.819872
vd4zwINEcLY,56,221,55,0,1094,158102,2019-04-06 11:54:50.978521
7fm7mll2qvg,236,765,371,0,26881,1546757,2019-04-06 11:54:52.151658
5gFpcEKayz4,231,2325,2150,0,110609,5653185,2019-04-06 11:54:53.780508
eHIY3HNNqzM,232,490,413,0,19602,1663682,2019-04-06 11:54:55.345765
q-WipZ9p0wk,1208,297,115,0,3549,167857,2019-04-06 11:54:56.521753
zy0b9e40tK8,0,0,0,0,0,0,2019-04-06 11:54:58.073833
rL4WkebTT_U,546,1108,102,0,12604,260944,2019-04-06 11:54:59.199722
Y6eKxjMA9ek,847,1155,282,0,28330,300701,2019-04-06 11:55:00.373447
Q6Usd3_fbq8,231,666,67,0,11696,245500,2019-04-06 11:55:01.515797
44NYFvhXmW8,249,8956,7407,0,159713,10339376,2019-04-06 11:55:02.780105
9wg3v-01yKQ,183,68962,25840,0,1178724,32594317,2019-04-06 11:55:03.916287
F-j_6IuaYfw,399,2275,1065,0,20717,643773,2019-04-06 11:55:05.185218
_qSW96a2aKY,195,2529,3079,0,31121,4233050,2019-04-06 11:55:06.316053
afgvlR9WmIQ,238,1071,578,0,25945,1439913,2019-04-06 11:55:07.707760
_CJN_ryETIY,340,815,134,0,16786,478440,2019-04-06 11:55:09.224472
P4YJwy_T9pM,832,2919,581,0,77952,2444046,2019-04-06 11:55:10.675359
YqH4eWR7jDQ,81,2,0,0,62,8764,2019-04-06 11:55:11.923671
r96KpNTcog4,389,399,113,0,11971,213836,2019-04-06 11:55:13.547838
B4gXsobd_ao,270,610,150,0,4906,120542,2019-04-06 11:55:14.930028
x8eLIJAM58M,121,976,1124,0,12372,2210203,2019-04-06 11:55:16.343087
6V_aZsATDsM,618,0,22,0,1209,70035,2019-04-06 11:55:17.697960
qg0GdM60syI,16,1,0,0,4,1648,2019-04-06 11:55:18.824563
8j_BYfVEyhA,1851,1471,796,0,5886,714322,2019-04-06 11:55:20.215117
9ymjcSvEyhk,251,493,378,0,8645,715282,2019-04-06 11:55:21.747361
oB3SAI2oCqk,64,1,1,0,27,7915,2019-04-06 11:55:22.879414
HNa_UWX51_s,289,1102,741,0,35420,1670719,2019-04-06 11:55:24.297489
08nkwgZIE4I,228,1549,1119,0,42299,3390303,2019-04-06 11:55:25.873649
5Smb3tZD1Qc,217,696,385,0,4643,783077,2019-04-06 11:55:27.376389
YHDbsyyjld0,314,629,37,0,7682,142644,2019-04-06 11:55:29.026994
uyl6WtHEYOQ,134,64,36,0,1006,85022,2019-04-06 11:55:30.258372
bhoFXkVy8JA,0,0,0,0,0,0,2019-04-06 11:55:31.551232
_w58R1OGQFA,269,57,94,0,1037,94992,2019-04-06 11:55:32.786161
BEweWXa5Twk,790,2212,931,0,49094,1549834,2019-04-06 11:55:34.035416
egXr0PU-kCY,1132,7250,2379,0,74596,2259835,2019-04-06 11:55:35.387401
fIQ2Ty2OL34,430,188,11,0,540,29508,2019-04-06 11:55:36.700754
d_j512i2k6c,473,1988,689,0,11057,761827,2019-04-06 11:55:38.247212
4d07RXYLsJE,24,2,0,0,4,2570,2019-04-06 11:55:39.457159
DOIw62TXYkg,125,1568,900,0,11727,7079077,2019-04-06 11:55:40.727226
0lbJHqAGpbA,88,15,5,0,386,253603,2019-04-06 11:55:41.898836
JuP1Z8xpRb8,227,301,81,0,3983,147732,2019-04-06 11:55:43.570256
CR9zYgr84QY,517,291,77,0,7635,217111,2019-04-06 11:55:45.028827
1640fZpYBSY,83,565,73,0,1244,388655,2019-04-06 11:55:46.240007
M2-IpsWQUWs,153,934,607,0,14260,1036678,2019-04-06 11:55:51.518482
7m630xvAJtA,230,37,18,0,526,65968,2019-04-06 11:55:52.623705
510KQ_LXGww,1095,304,3856,0,100488,2082255,2019-04-06 11:55:53.893306
CO9dIyNM_9Q,99,759,183,0,677,273981,2019-04-06 11:55:55.086723
hX643KbiI4s,0,0,0,0,0,0,2019-04-06 11:55:56.235464
mwpHSMv1pI4,220,1270,291,0,20099,575748,2019-04-06 11:55:57.360465
Mfiim71QdYQ,298,477,111,0,553,57537,2019-04-06 11:55:58.600845
UFPSIa1cLRQ,194,283,99,0,6550,314731,2019-04-06 11:55:59.800538
o78x918zbFk,948,27746,2593,0,69100,1847489,2019-04-06 11:56:00.942447
iNf6VErGDLI,475,4986,3272,0,84963,3526432,2019-04-06 11:56:02.137953
6ixU_vdE0Es,390,1630,163,0,62490,1379273,2019-04-06 11:56:03.359634
wRGldR_SQAA,0,0,0,0,0,0,2019-04-06 11:56:04.790622
agKDPntMv-E,420,1598,524,0,4661,573168,2019-04-06 11:56:06.193906
Xl38SuxyrgM,564,41,15,0,176,21035,2019-04-06 11:56:07.370235
u7pV4vxD1bs,304,89,75,0,75,189474,2019-04-06 11:56:08.593673
zYWt2mnalP8,190,3781,2660,0,76121,1290133,2019-04-06 11:56:10.051504
