channel_title,channel_id,publishedAt,subscriberCount,videoCount,viewCount,timestamp
PitbullVEVO,UCVWA4btXTFru9qM06FceSag,2009-05-12T05:29:04.000Z,10029812,194,7741754356,2019-04-07 14:39:08.980437
Late Show with David Letterman,,,0,0,0,2019-04-07 14:39:10.021711
Alicia Keys,,,0,0,0,2019-04-07 14:39:11.066316
ElbowVEVO,UCmOFHvCruXt5NJmxS8HPoaA,2009-05-12T05:27:51.000Z,34393,56,28240342,2019-04-07 14:39:12.144694
MDNA SKIN,,,0,0,0,2019-04-07 14:39:13.182474
poofables,UCFL0FILdbQIxyer-oeurYKg,2006-06-09T17:01:40.000Z,36,5,165253,2019-04-07 14:39:14.300340
SigridVEVO,,,0,0,0,2019-04-07 14:39:15.347842
MOMOMOYOUTHVEVO,UCtGsfvj155zp8maBFng9hHg,2013-05-29T00:29:59.000Z,826846,59,316261100,2019-04-07 14:39:16.440204
TheScriptVEVO,UCafVZzwtU8XUWbXGs4LYtdg,2009-10-15T19:13:04.000Z,2485482,111,1481601032,2019-04-07 14:39:17.521179
Brothers Green Eats,,,0,0,0,2019-04-07 14:39:18.567780
Netflix,,,0,0,0,2019-04-07 14:39:19.630170
Abroad in Japan,,,0,0,0,2019-04-07 14:39:20.676607
Tucker Gott,,,0,0,0,2019-04-07 14:39:21.717588
Nahre Sol,,,0,0,0,2019-04-07 14:39:22.769163
ThirtySecondsToMarsVEVO,,,0,0,0,2019-04-07 14:39:23.807699
HarryStylesVEVO,UCsVnVN3mdUQCT8AuZ405d9w,2011-08-22T12:32:45.000Z,473,0,0,2019-04-07 14:39:24.928754
Wong Fu Productions,,,0,0,0,2019-04-07 14:39:25.981407
Keith Urban,,,0,0,0,2019-04-07 14:39:27.023908
Maroon5VEVO,UCN1hnUccO4FD5WfM7ithXaw,2009-05-12T05:28:41.000Z,15507427,114,12545871159,2019-04-07 14:39:28.093446
X Factor Italia,,,0,0,0,2019-04-07 14:39:29.146174
Tyler Williams,,,0,0,0,2019-04-07 14:39:30.186668
Stewart Brand,,,0,0,0,2019-04-07 14:39:31.225367
Chris and Jack,,,0,0,0,2019-04-07 14:39:32.267100
The School of Life,,,0,0,0,2019-04-07 14:39:33.308849
E! Entertainment,,,0,0,0,2019-04-07 14:39:34.346885
Whitney Port,,,0,0,0,2019-04-07 14:39:35.391482
90s Commercials,,,0,0,0,2019-04-07 14:39:36.428086
Breakfast Club Power 105.1 FM,,,0,0,0,2019-04-07 14:39:37.468549
Enter Shikari,,,0,0,0,2019-04-07 14:39:38.512047
Caterham Cars,,,0,0,0,2019-04-07 14:39:39.634644
PostmodernJukebox,,,0,0,0,2019-04-07 14:39:40.690281
