video_id,channel_id,publishedAt,subscriberCount,videoCount,viewCount,timestamp
yKVAhDbSito,UCkvK_5omS-42Ovgah8KRKtg,2006-02-14T22:18:44.000Z,14139379,333,1539716224,2019-04-08 11:10:15.206301
jLCHpZ6B1gU,UCy5QKpDQC-H3z82Bw6EVFfg,2009-10-15T19:09:49.000Z,1046491,107,836944374,2019-04-08 11:10:16.429715
4Uhe7pNqCFo,UCUK0HBIBWgM2c4vsPhkYY4w,2010-08-15T13:51:49.000Z,12309899,253,1695870552,2019-04-08 11:10:17.607088
f_jTeuajas0,UCVTQuK2CaWaTgSsoNkn5AiQ,2006-05-17T17:10:46.000Z,1429058,6137,604930391,2019-04-08 11:10:18.824406
RQUuqbzQVsY,UCk1OAveiSUJjtQ8w4B_ayrA,2016-12-16T00:39:41.000Z,907795,15,481898483,2019-04-08 11:10:20.199615
FmE8DwZ6RHk,UCupvZG-5ko_eiXAupbDfxWw,2005-10-02T16:06:36.000Z,6491342,144912,4505946525,2019-04-08 11:10:21.444194
MjSZs_uOWxg,UC8-Th83bH_thdKZDJCrn88g,2006-01-08T09:41:20.000Z,20555149,5122,11004337025,2019-04-08 11:10:22.656618
iNT-tPrz4OM,UCCj956IF62FbT7Gouszaj9w,2005-11-12T02:36:31.000Z,6039426,23029,5492100174,2019-04-08 11:10:23.860040
q11UD-6XT-8,,,0,0,0,2019-04-08 11:10:25.029539
gNG0GiSrwas,UCp0hYYBW6IMayGgR-WeoCvQ,2006-11-21T04:53:43.000Z,31697200,10097,15411665134,2019-04-08 11:10:26.236826
I5qFoctplSU,UCDVYQ4Zhbm3S2dlz7P1GBDg,2014-12-14T02:07:35.000Z,4739339,15821,2842569759,2019-04-08 11:10:27.452395
CbfnCflL4-E,UCF9imwPMSGz4Vq1NiTWCC7g,2006-03-02T01:42:44.000Z,1209446,1201,939430714,2019-04-08 11:10:28.653883
gfmXCAwBkCE,UCa6vGFO9ty8v5KZJXQxdhaw,2006-09-20T06:18:26.000Z,14040053,3875,7425257148,2019-04-08 11:10:29.863288
AuWwlxym68g,UCzzXsnHsEmGorQ6xAKL2sZA,2013-05-06T17:32:01.000Z,671922,71,454741629,2019-04-08 11:10:31.248621
9vDdx1dba6c,UCayDH74OUbNnLgmZ1uy136g,2016-12-05T20:45:39.000Z,358154,12,26722417,2019-04-08 11:10:32.477927
w6rzRBHy1tk,UCgRQHK8Ttr1j9xCEpCAlgbQ,2006-03-04T06:29:34.000Z,361099,2677,171557054,2019-04-08 11:10:33.655352
akNs04ef_Co,UCHUE4ypXKp7ZkmdWbGJNgJg,2006-02-07T21:55:42.000Z,4181629,264,579769163,2019-04-08 11:10:34.847841
pylyPL64uxk,UCWJ2lWNubArHWmf3FIHbfcQ,2005-11-21T01:20:33.000Z,11102994,30499,5497243646,2019-04-08 11:10:36.060143
xIbQZpwVweE,UCIiBf-JbtCazHSFqXV4JgoA,2006-10-04T04:46:21.000Z,2886498,870,318530684,2019-04-08 11:10:37.288558
WB8ozD7l02w,UCoyaxd5LQSuP4ChkxK0pnZQ,2009-07-26T17:48:32.000Z,3666299,738,664288084,2019-04-08 11:10:38.677787
VFnXRntc9XA,UCHYKkKW0MpX5-nDQQas-b6w,2012-02-13T19:44:05.000Z,275063,21,108757913,2019-04-08 11:10:44.894073
bYXM3uz1bjM,UCfuVkZR3HraR6QH7k_9nl6g,2011-02-15T22:56:27.000Z,28792,10,17899812,2019-04-08 11:10:46.114478
nUgMn2ntSh4,UCsZsDjpf2Ppv_cT2K6_q2cw,2007-06-03T18:46:10.000Z,1844022,1568,387930986,2019-04-08 11:10:56.317517
m0AZ5LKlGyk,UCVhELdTtlliO9Lf4csLbT-g,2010-02-16T05:35:16.000Z,0,122,5096094,2019-04-08 11:10:57.582783
f1xIeTCgoFk,,,0,0,0,2019-04-08 11:10:58.724203
YWVylysTNIA,UCrudoMmlMr8PWNNnHcNuQgA,2006-05-25T00:12:18.000Z,671,44,5782271,2019-04-08 11:11:00.119391
OVnxBcS5qWo,UCGIY_O-8vW4rfX98KlMkvRg,2005-12-27T13:18:56.000Z,5419086,3433,1680304946,2019-04-08 11:11:01.337061
jHvSF0njyvc,UCeY0bbntWzzVIaj2z3QigXg,2006-07-19T20:46:03.000Z,1162724,16824,515035283,2019-04-08 11:11:02.535646
