channel_title,channel_id,publishedAt,subscriberCount,videoCount,viewCount,timestamp
Andy Grammer,,,0,0,0,2019-04-07 16:25:53.424704
RemyMaVEVO,UCvNnDoK1N5_dP6J_EtMsd7w,2009-05-12T05:29:09.000Z,124857,9,44159843,2019-04-07 16:25:54.519499
Nintendo,UCGIY_O-8vW4rfX98KlMkvRg,2005-12-27T13:18:56.000Z,5417125,3433,1679459696,2019-04-07 16:25:55.596582
Dina Tokio,,,0,0,0,2019-04-07 16:25:56.640961
Team Coco,,,0,0,0,2019-04-07 16:25:57.682995
PitbullVEVO,UCVWA4btXTFru9qM06FceSag,2009-05-12T05:29:04.000Z,10029303,194,7741850379,2019-04-07 16:25:58.772069
Late Show with David Letterman,,,0,0,0,2019-04-07 16:25:59.817854
Alicia Keys,,,0,0,0,2019-04-07 16:26:00.850159
ElbowVEVO,UCmOFHvCruXt5NJmxS8HPoaA,2009-05-12T05:27:51.000Z,34393,56,28240836,2019-04-07 16:26:01.974805
MDNA SKIN,,,0,0,0,2019-04-07 16:26:03.006856
poofables,UCFL0FILdbQIxyer-oeurYKg,2006-06-09T17:01:40.000Z,36,5,165255,2019-04-07 16:26:04.148042
SigridVEVO,,,0,0,0,2019-04-07 16:26:05.212055
MOMOMOYOUTHVEVO,UCtGsfvj155zp8maBFng9hHg,2013-05-29T00:29:59.000Z,826846,59,316268140,2019-04-07 16:26:06.274849
TheScriptVEVO,UCafVZzwtU8XUWbXGs4LYtdg,2009-10-15T19:13:04.000Z,2485482,111,1481642260,2019-04-07 16:26:07.337803
Brothers Green Eats,,,0,0,0,2019-04-07 16:26:08.377702
Netflix,,,0,0,0,2019-04-07 16:26:09.424965
Abroad in Japan,,,0,0,0,2019-04-07 16:26:10.459646
Tucker Gott,,,0,0,0,2019-04-07 16:26:11.492001
Nahre Sol,,,0,0,0,2019-04-07 16:26:12.528407
ThirtySecondsToMarsVEVO,,,0,0,0,2019-04-07 16:26:13.574525
HarryStylesVEVO,UCsVnVN3mdUQCT8AuZ405d9w,2011-08-22T12:32:45.000Z,473,0,0,2019-04-07 16:26:14.702599
Wong Fu Productions,,,0,0,0,2019-04-07 16:26:15.733998
Keith Urban,,,0,0,0,2019-04-07 16:26:16.777262
Maroon5VEVO,UCN1hnUccO4FD5WfM7ithXaw,2009-05-12T05:28:41.000Z,15506435,114,12546389591,2019-04-07 16:26:17.848893
X Factor Italia,,,0,0,0,2019-04-07 16:26:18.892072
Tyler Williams,,,0,0,0,2019-04-07 16:26:19.928954
Stewart Brand,,,0,0,0,2019-04-07 16:26:20.961765
Chris and Jack,,,0,0,0,2019-04-07 16:26:21.994269
The School of Life,,,0,0,0,2019-04-07 16:26:23.046501
E! Entertainment,,,0,0,0,2019-04-07 16:26:24.081103
Whitney Port,,,0,0,0,2019-04-07 16:26:25.124624
90s Commercials,,,0,0,0,2019-04-07 16:26:26.173315
Breakfast Club Power 105.1 FM,,,0,0,0,2019-04-07 16:26:27.216863
Enter Shikari,,,0,0,0,2019-04-07 16:26:28.258306
Caterham Cars,,,0,0,0,2019-04-07 16:26:29.299796
PostmodernJukebox,,,0,0,0,2019-04-07 16:26:30.353293
PinkVEVO,UCXJDX1KK6t121Z9FLhu5o2A,2009-05-12T05:29:03.000Z,7543805,124,4508078948,2019-04-07 16:26:31.420033
Tamar Chronicles,,,0,0,0,2019-04-07 16:26:32.455974
Kitten Lady,,,0,0,0,2019-04-07 16:26:33.494066
Guinness World Records,,,0,0,0,2019-04-07 16:26:34.543845
Blockbuster,UC_uwk2Tlyat1X0WpIj2y_2g,2006-02-24T23:00:41.000Z,110,2,839,2019-04-07 16:26:35.655925
TrainVEVO,UC5e_2fVZJ2heCb799A04AtA,2009-10-15T19:13:16.000Z,961796,85,880857522,2019-04-07 16:26:36.731911
Christen Dominique,,,0,0,0,2019-04-07 16:26:37.797981
James Charles,,,0,0,0,2019-04-07 16:26:38.843881
FreeDawkins,,,0,0,0,2019-04-07 16:26:39.905097
The Infographics Show,,,0,0,0,2019-04-07 16:26:41.029180
Jenny Hanell,,,0,0,0,2019-04-07 16:26:42.063889
PetaPixel,UCkkhuzI6klpeII98hikpKWg,2008-07-16T18:53:51.000Z,1,0,0,2019-04-07 16:26:43.174306
RM Videos,,,0,0,0,2019-04-07 16:26:44.221910
BrianJustinCrum,,,0,0,0,2019-04-07 16:26:45.271213
CupcakeJemma,UCoMum0pwewO8_WtTlUQxGHw,2013-06-25T10:07:12.000Z,1489523,345,128305999,2019-04-07 16:26:46.349233
Anaki Abo,,,0,0,0,2019-04-07 16:26:47.394217
Katy Perry,,,0,0,0,2019-04-07 16:26:48.428777
I'm With Her,,,0,0,0,2019-04-07 16:26:49.470761
Zoella,,,0,0,0,2019-04-07 16:26:50.513686
Storyful News,,,0,0,0,2019-04-07 16:26:51.558558
Tu Fan,,,0,0,0,2019-04-07 16:26:52.600146
MyHarto,UCJQL1Fai-9GlVunsbP4x8Pg,2009-06-05T06:28:12.000Z,2471571,649,319434539,2019-04-07 16:26:53.683416
Chicago Sun-Times,,,0,0,0,2019-04-07 16:26:54.727106
PhilPhillipsVEVO,UCqFqC-qFh6NGDJlx4qU4Tzw,2012-07-03T01:22:04.000Z,458594,28,167783814,2019-04-07 16:26:55.831819
Tati,,,0,0,0,2019-04-07 16:26:56.880672
Ozuna,,,0,0,0,2019-04-07 16:26:57.936445
Madelaine Petsch,,,0,0,0,2019-04-07 16:26:58.968545
Steve Kovach,,,0,0,0,2019-04-07 16:27:00.014756
ESPN,UCiWLfSweyRNmLpgEHekhoAg,2005-10-31T23:34:22.000Z,4848564,20364,2914337766,2019-04-07 16:27:01.074754
LetsGoWarriors,,,0,0,0,2019-04-07 16:27:02.134433
KSNV News 3 Las Vegas,,,0,0,0,2019-04-07 16:27:03.175471
Sailor J,,,0,0,0,2019-04-07 16:27:04.221067
WIRED,UCftwRNsjfRo08xYE31tkiyw,2005-09-23T03:09:26.000Z,3914638,2807,1098576685,2019-04-07 16:27:05.293956
HiHo Kids,,,0,0,0,2019-04-07 16:27:06.333955
ElectroBOOM,,,0,0,0,2019-04-07 16:27:07.395893
Brent Pella,,,0,0,0,2019-04-07 16:27:08.440635
Cards Against Humanity,,,0,0,0,2019-04-07 16:27:09.525388
The Slow Mo Guys,,,0,0,0,2019-04-07 16:27:10.558589
TechSmartt,UCpT9kL2Eba91BB9CK6wJ4Pg,2010-12-29T01:46:06.000Z,3370592,1064,564850543,2019-04-07 16:27:11.636286
JunsKitchen,UCRxAgfYexGLlu1WHGIMUDqw,2012-11-12T02:38:12.000Z,3486322,25,194356963,2019-04-07 16:27:12.722477
Attaullah Malik,,,0,0,0,2019-04-07 16:27:13.757880
The Tonight Show Starring Jimmy Fallon,,,0,0,0,2019-04-07 16:27:14.797724
Anwar Jibawi,,,0,0,0,2019-04-07 16:27:15.849028
Washington Post,,,0,0,0,2019-04-07 16:27:16.895053
Dolan Twins,,,0,0,0,2019-04-07 16:27:17.932674
Jackie Aina,,,0,0,0,2019-04-07 16:27:18.978120
TV Promos,,,0,0,0,2019-04-07 16:27:20.018597
Taylor Swift,,,0,0,0,2019-04-07 16:27:21.059002
ProZD,UC6MFZAOHXlKK1FI7V0XQVeA,2006-05-16T19:32:51.000Z,1862738,1133,483761641,2019-04-07 16:27:22.126497
REACT,UCHEf6T_gVq4tlW5i91ESiWg,2013-07-30T10:19:47.000Z,11054517,1598,3562563266,2019-04-07 16:27:23.201439
First We Feast,,,0,0,0,2019-04-07 16:27:24.241596
Brian Hull,,,0,0,0,2019-04-07 16:27:25.277440
William Osman,,,0,0,0,2019-04-07 16:27:26.323275
Access Hollywood,,,0,0,0,2019-04-07 16:27:27.368070
emma chamberlain,,,0,0,0,2019-04-07 16:27:28.411002
Now You See It,,,0,0,0,2019-04-07 16:27:29.493779
Dancing With The Stars,,,0,0,0,2019-04-07 16:27:30.525789
